BENATAE;1
BENAVENT DE SEGRIÀ;1
BENAVENTE;10
BENAVIDES;3
BENEIXAMA;1
BENEJUZAR;2
BENETUSSER;5
BENFERRI;1
BENIARJO;1
BENICARLO;8
BENICASIM/BENICÀSSIM;5
BENIDORM;25
BENIEL;5
BENIFAIO;4
BENIGÀNIM;3
BENIJOFAR;1
BENIMODO;1
BENISSA;4
BENITACHELL/POBLE NOU DE BENITATXELL (EL);1
BERA;4
BERANGO;2
BERASTEGI;1
BERBEGAL;1
BERBINZANA;2
BERCHULES;1
BERGA;4
BERGARA;9
BERGONDO;2
BERIAIN;2
BERJA;5
BERLANGA;3
BERLANGA DE DUERO;1
BERMEO;7
BERMILLO DE SAYAGO;2
BERNARDOS;1
BERNEDO;1
BERRIATUA;1
BERRIOZAR;5
BERRIZ;3
BESALU;2
BESCANO;1
BETANZOS;6
BETELU;1
BETERA;7
BETXI;3
BIAR;3
BICORP;1
BIELSA;2
BIENSERVIDA;1
BIENVENIDA;2
BIESCAS;2
BIGASTRO;3
BIGUES I RIELLS;2
BILBAO;160
BIMENES;1
BINACED;2
BINEFAR;6
BINISSALEM;2
BIOTA;2
BISBAL D'EMPORDÀ (LA);4
BISBAL DEL PENEDÈS (LA);1
BLANCA;4
BLANES;9
BLAZQUEZ (LOS);1
BOADILLA DEL MONTE;20
BOAL;2
BOALO (EL);1
BOBORAS;1
BOCAIRENT;3
BOCEGUILLAS;1
BOECILLO;2
BOGARRA;1
BOIMORTO;1
BOIRO;7
BOLAÑOS DE CALATRAVA;5
BOLBAITE;1
BOLLULLOS DE LA MITACION;2
BOLLULLOS PAR DEL CONDADO;5
BOLO (O);1
BOLTAÑA;2
BONARES;3
BONETE;1
BONILLO (EL);3
BONREPÒS I MIRAMBELL;2
BOQUEIXON;1
BOQUIÑENI;2
BORDILS;1
BORGE (EL);1
BORGES BLANQUES (LES);4
BORGES DEL CAMP (LES);1
BORJA;4
BORMUJOS;6
BORNOS;3
BOROX;1
BORRIANA/BURRIANA;8
BORRIOL;2
BOSQUE (EL);1
BOSSÒST;1
BOTORRITA;1
BOVEDA;1
BOVEDA DE TORO (LA);1
BOÑAR;4
BRAZATORTAS;2
BREA DE ARAGON;2
BREDA;1
BRENES;3
BREÑA ALTA;4
BREÑA BAJA;1
BRIHUEGA;3
BRION;1
BRIONES;1
BRIVIESCA;5
BRONCHALES;2
BROTO;2
BROZAS;1
BRUNETE;3
BUENACHE DE ALARCON;1
BUENAVENTURA;1
BUENAVISTA DEL NORTE;3
BUEU;4
BUGARRA;1
BUGER;1
BUITRAGO DEL LOZOYA;1
BUJALANCE;4
BUJARALOZ;2
BULLAS;3
BUNYOLA;2
BURELA;5
BURGANES DE VALVERDE;1
BURGO (EL);1
BURGO DE EBRO (EL);2
BURGO DE OSMA-CIUDAD DE OSMA;5
BURGOHONDO;1
BURGOS;73
BURGUILLOS;2
BURGUILLOS DE TOLEDO;1
BURGUILLOS DEL CERRO;3
BURJASSOT;7
BURLADA/BURLATA;7
BURUJON;1
BUSOT;1
BUSTARVIEJO;2
BUSTILLO DEL PARAMO;1
BUSTURIA;1
BUÑOL;5
BUÑUEL;2
BÀSCARA;1
CABANA DE BERGANTIÑOS;1
CABANES;2
CABANILLAS;2
CABANILLAS DEL CAMPO;3
CABAÑAS DE EBRO;1
CABAÑAS DE LA SAGRA;1
CABEZA DEL BUEY;6
CABEZA LA VACA;2
CABEZAMESADA;1
CABEZARADOS;1
CABEZARRUBIAS DEL PUERTO;1
CABEZAS DE SAN JUAN (LAS);3
CABEZAS RUBIAS;1
CABEZON DE LA SAL;6
CABEZON DE PISUERGA;1
CABEZUELA;1
CABEZUELA DEL VALLE;3
CABRA;7
CABRA DEL SANTO CRISTO;2
CABRALES;1
CABRANES;1
CABRERA DE MAR;1
CABRERIZOS;1
CABRILS;1
CACABELOS;7
CACERES;34
CADALSO DE LOS VIDRIOS;1
CADAQUES;3
CADIAR;2
CADIZ;43
CADREITA;2
CADRETE;1
CAJAR;1
CALA;1
CALACEITE;2
CALAF;2
CALAFELL;4
CALAHORRA;14
CALAHORRA (LA);1
CALAMOCHA;5
CALAMONTE;5
CALANDA;2
CALASPARRA;3
CALATAYUD;7
CALATORAO;2
CALAÑAS;2
CALDAS DE REIS;3
CALDES D'ESTRAC;1
CALDES DE MALAVELLA;1
CALDES DE MONTBUI;4
CALELLA;4
CALERA DE LEON;1
CALERA Y CHOZAS;4
CALERUEGA;3
CALLDETENES;2
CALLOSA D'EN SARRIA;3
CALLOSA DE SEGURA;6
CALLUS;1
CALONGE I SANT ANTONI;2
CALP;6
CALVIÀ;25
CALVOS DE RANDIN;1
CALZADA DE CALATRAVA;3
CALZADILLA DE LOS BARROS;1
CAMARASA;1
CAMARENA;1
CAMARENILLA;1
CAMARGO;7
CAMARIÑAS;2
CAMARLES;1
CAMARMA DE ESTERUELAS;1
CAMARZANA DE TERA;3
CAMAS;4
CAMBADOS;7
CAMBIL;3
CAMBRE;7
CAMBRILS;8
CAMINOMORISCO;1
CAMINREAL;1
CAMPANA (LA);2
CAMPANARIO;5
CAMPANET;1
CAMPASPERO;2
CAMPDEVÀNOL;1
CAMPELLO (EL);9
CAMPEZO/KANPEZU;3
CAMPILLO (EL);1
CAMPILLO DE ALTOBUEY;2
CAMPILLO DE ARENAS;2
CAMPILLO DE LA JARA (EL);1
CAMPILLO DE LLERENA;1
CAMPILLOS;4
CAMPO;2
CAMPO DE CRIPTANA;5
CAMPO DE SAN PEDRO;2
CAMPO REAL;3
CAMPONARAYA;3
CAMPORRELLS;1
CAMPORROBLES;1
CAMPOS;5
CAMPOS DEL PARAISO;1
