771,Valverde de Burguillos,271
772,Valverde de Leganés,4231
773,Valverde de Llerena,563
774,Valverde de Mérida,1010
775,Valle de la Serena,1092
776,Valle de Matamoros,333
777,Valle de Santa Ana,1110
778,Villafranca de los Barros,12354
779,Villagarcía de la Torre,894
780,Villagonzalo,1225
781,Villalba de los Barros,1459
782,Villanueva de la Serena,25730
783,Villanueva del Fresno,3294
784,Villar del Rey,2082
785,Villar de Rena,1323
786,Villarta de los Montes,394
787,Zafra,16680
788,Zahínos,2768
789,Zalamea de la Serena,3430
790,Zarza-Capilla,297
791,"Zarza, La",3350
792,Valdelacalzada,2753
793,Pueblonuevo del Guadiana,1951
794,Guadiana,2443
795,Alaró,6083
796,Alaior,10158
797,Alcúdia,22075
798,Algaida,6334
799,Andratx,12238
800,Artà,8486
801,Banyalbufar,580
802,Binissalem,9289
803,Búger,1201
804,Bunyola,7526
805,Calvià,53826
806,Campanet,2812
807,Campos,12192
808,Capdepera,13066
809,Ciutadella de Menorca,32171
810,Consell,4397
811,Costitx,1542
812,Deià,732
813,Escorca,205
814,Esporles,5303
815,Estellencs,379
816,Felanitx,18886
817,Ferreries,5126
818,Formentera,11483
819,Fornalutx,716
820,Eivissa,53228
821,Inca,35396
822,Lloret de Vistalegre,1630
823,Lloseta,6536
824,Llubí,2532
825,Llucmajor,39809
826,Maó,30643
827,Manacor,47880
828,Mancor de la Vall,1704
829,Maria de la Salut,2391
830,Marratxí,40057
831,"Mercadal, Es",6163
832,Montuïri,3198
833,Muro,8136
834,Palma,438234
835,Petra,3215
836,Pollença,17548
837,Porreres,5891
838,"Pobla, Sa",14719
839,Puigpunyent,2069
840,Sant Antoni de Portmany,28884
841,Sencelles,3984
842,Sant Josep de sa Talaia,30480
843,Sant Joan,2245
844,Sant Joan de Labritja,6888
845,Sant Llorenç des Cardassar,9499
846,Sant Lluís,7260
847,Santa Eugènia,1919
848,Santa Eulària des Riu,42005
849,Santa Margalida,13755
850,Santa María del Camí,7637
851,Santanyí,12828
852,Selva,4272
853,"Salines, Ses",5079
854,Sineu,4473
855,Sóller,13860
856,Son Servera,12449
857,Valldemossa,2047
858,"Castell, Es",7866
859,Vilafranca de Bonany,3828
860,Ariany,1038
861,"Migjorn Gran, Es",1687
862,Abrera,12981
863,Aguilar de Segarra,291
864,Alella,10200
865,Alpens,270
866,"Ametlla del Vallès, L'",9448
867,Arenys de Mar,16513
868,Arenys de Munt,9444
869,Argençola,241
870,Argentona,12850
871,Artés,6051
872,Avià,2242
873,Avinyó,2311
874,Avinyonet del Penedès,1745
875,Aiguafreda,2582
876,Badalona,226219
877,Bagà,2181
878,Balenyà,3999
879,Balsareny,3325
880,Barcelona,1686208
881,Begues,7439
882,Bellprat,69
883,Berga,17195
884,Bigues i Riells del Fai,10035
885,Borredà,426
886,"Bruc, El",2293
887,"Brull, El",293
888,"Cabanyes, Les",1011
889,Cabrera d'Anoia,1712
890,Cabrera de Mar,5014
891,Cabrils,7764
892,Calaf,3595
893,Caldes d'Estrac,3241
894,Caldes de Montbui,18334
895,Calders,1114
896,Calella,20207
897,Calonge de Segarra,174
898,Calldetenes,2690
899,Callús,2151
900,Campins,609
901,Canet de Mar,15135
902,Canovelles,17264
903,Cànoves i Samalús,3309
904,Canyelles,5360
905,Capellades,5558
906,Capolat,92
907,Cardedeu,19091
908,Cardona,4566
909,Carme,819
910,Casserres,1675
911,Castellar del Riu,163
912,Castellar del Vallès,25301
913,Castellar de n'Hug,164
914,Castellbell i el Vilar,4130
915,Castellbisbal,12965
916,Castellcir,778
917,Castelldefels,69196
918,Castell de l'Areny,69
919,Castellet i la Gornal,2665
920,Castellfollit del Boix,460
921,Castellfollit de Riubregós,151
922,Castellgalí,2339
923,Castellnou de Bages,1430
924,Castellolí,659
925,Castellterçol,2766
926,Castellví de la Marca,1714
927,Castellví de Rosanes,2098
928,Centelles,7771
929,Cervelló,9633
930,Collbató,4847
931,Collsuspina,390
932,Copons,352
933,Corbera de Llobregat,15783
934,Cornellà de Llobregat,91196
935,Cubelles,17300
936,Dosrius,6152
937,Esparreguera,22499
938,Esplugues de Llobregat,47700
939,"Espunyola, L'",263
940,"Estany, L'",401
941,Fígols,42
942,Fogars de Montclús,503
943,Fogars de la Selva,1678
944,Folgueroles,2262
945,Fonollosa,1584
946,Font-rubí,1432
947,"Franqueses del Vallès, Les",20667
948,Gallifa,174
949,"Garriga, La",17277
950,Gavà,47961
951,Gaià,178
952,Gelida,8078
953,Gironella,5072
954,Gisclareny,30
955,"Granada, La",2263
956,Granera,83
957,Granollers,63897
958,Gualba,1743
959,Sant Salvador de Guardiola,3478
960,Guardiola de Berguedà,951
961,Gurb,2711
962,"Hospitalet de Llobregat, L'",282299
963,Igualada,41755
964,Jorba,827
965,"Llacuna, La",984
966,"Llagosta, La",13070
967,Llinars del Vallès,10699
968,Lliçà d'Amunt,16225
969,Lliçà de Vall,6858
970,Lluçà,289
971,Malgrat de Mar,19270
972,Malla,274
973,Manlleu,21291
974,Manresa,79737
975,Martorell,28483
976,Martorelles,4984
977,"Masies de Roda, Les",749
978,"Masies de Voltregà, Les",3292
979,"Masnou, El",24444
980,Masquefa,10020
981,Matadepera,9863
982,Mataró,130887
983,Mediona,2632
984,Molins de Rei,26930
985,Mollet del Vallès,52045
986,Montcada i Reixac,37096
987,Montgat,12646
988,Monistrol de Montserrat,3188
989,Monistrol de Calders,762
990,Muntanyola,712
991,Montclar,132
992,Montesquiu,1095
993,Montmajor,474
994,Montmaneu,200
995,Figaró-Montmany,1190
996,Montmeló,8887
997,Montornès del Vallès,17039
998,Montseny,379
999,Moià,6715
1000,Mura,232
1001,Navarcles,6158
1002,Navàs,6183
1003,"Nou de Berguedà, La",163
1004,Òdena,3695
1005,Olvan,910
1006,Olèrdola,3938
1007,Olesa de Bonesvalls,2092
1008,Olesa de Montserrat,24703
1009,Olivella,4452
1010,Olost,1213
1011,Orís,349
1012,Oristà,571
1013,Orpí,179
1014,Òrrius,806
1015,Pacs del Penedès,943
1016,Palafolls,9933
1017,Palau-solità i Plegamans,15444
1018,Pallejà,11811
1019,"Papiol, El",4358
1020,Parets del Vallès,18879
1021,Perafita,438
1022,Piera,17560
1023,"Hostalets de Pierola, Els",3232
1024,Pineda de Mar,29415
1025,"Pla del Penedès, El",1352
1026,"Pobla de Claramunt, La",2356
1027,"Pobla de Lillet, La",1107
1028,Polinyà,8559
1029,Pontons,518
1030,"Prat de Llobregat, El",65910
1031,"Prats de Rei, Els",554
1032,Prats de Lluçanès,2696
1033,Premià de Mar,28928
1034,Puigdàlber,629
1035,Puig-reig,4482
1036,Pujalt,212
1037,"Quar, La",44
1038,Rajadell,594
1039,Rellinars,920
1040,Ripollet,39430
1041,"Roca del Vallès, La",10956
1042,"Pont de Vilomara i Rocafort, El",4139
1043,Roda de Ter,6883
1044,Rubí,81523
1045,Rubió,240
1046,Sabadell,221564
1047,Sagàs,154
1048,Sant Pere Sallavinera,158
1049,Saldes,300
1050,Sallent,6932
1051,Santpedor,7707
1052,Sant Iscle de Vallalta,1463
1053,Sant Adrià de Besòs,38672
1054,Sant Agustí de Lluçanès,108
1055,Sant Andreu de la Barca,27039
1056,Sant Andreu de Llavaneres,11942
1057,Sant Antoni de Vilamajor,6654
1058,Sant Bartomeu del Grau,939
1059,Sant Boi de Llobregat,84588
1060,Sant Boi de Lluçanès,574
1061,Sant Celoni,18708
1062,Sant Cebrià de Vallalta,3812
1063,Sant Climent de Llobregat,4181
1064,Sant Cugat del Vallès,98649
1065,Sant Cugat Sesgarrigues,1028
1066,Sant Esteve de Palautordera,3081
1067,Sant Esteve Sesrovires,8039
1068,Sant Fost de Campsentelles,9196
1069,Sant Feliu de Codines,6624
1070,Sant Feliu de Llobregat,46381
1071,Sant Feliu Sasserra,629
1072,Sant Fruitós de Bages,9225
1073,Vilassar de Dalt,9299
1074,Sant Hipòlit de Voltregà,3684
1075,Sant Jaume de Frontanyà,26
1076,Sant Joan Despí,35012
1077,Sant Joan de Vilatorrada,10972
1078,Vilassar de Mar,21169
1079,Sant Julià de Vilatorta,3300
1080,Sant Just Desvern,20815
1081,Sant Llorenç d'Hortons,2617
1082,Sant Llorenç Savall,2580
1083,Sant Martí de Centelles,1260
1084,Sant Martí d'Albars,140
1085,Sant Martí de Tous,1273
1086,Sant Martí Sarroca,3385
1087,Sant Martí Sesgueioles,360
1088,Sant Mateu de Bages,637
